driverId,driver_name,cluster,archetype,pc1,pc2,win_rate,podium_rate,dnf_rate,total_races
1,Lewis Hamilton,0,Front-Runner,-6.923631642540558,-2.1749438179004468,0.35585585585585583,0.6486486486486487,0.05855855855855856,222
3,Nico Rosberg,0,Front-Runner,-6.962262507576867,-4.845685490853731,0.35185185185185186,0.7592592592592593,0.07407407407407407,54
830,Max Verstappen,0,Front-Runner,-5.648733913997202,-1.335731589489176,0.3088235294117647,0.5490196078431373,0.14215686274509803,204
20,Sebastian Vettel,0,Front-Runner,-3.0897621601746863,0.5003554601638996,0.08,0.33714285714285713,0.13714285714285715,175
844,Charles Leclerc,0,Front-Runner,-3.245425499885631,-0.06675214013950781,0.05555555555555555,0.2986111111111111,0.16666666666666666,144
857,Oscar Piastri,0,Front-Runner,-1.953039168065871,-0.5921947000989395,0.04878048780487805,0.24390243902439024,0.04878048780487805,41
822,Valtteri Bottas,0,Front-Runner,-3.2884381490226073,1.3420796440976104,0.04484304932735426,0.3004484304932735,0.12556053811659193,223
846,Lando Norris,0,Front-Runner,-2.5343230902483618,0.2419305910183905,0.032520325203252036,0.21138211382113822,0.07317073170731707,123
18,Jenson Button,1,Struggling Backmarker,0.910970720837067,0.020300197851198964,0.0,0.0,0.2545454545454545,55
849,Nicholas Latifi,1,Struggling Backmarker,2.077650249857162,-0.35886537216517045,0.0,0.0,0.23214285714285715,56
835,Jolyon Palmer,1,Struggling Backmarker,2.42021839731868,-0.6783447238125697,0.0,0.0,0.3125,32
828,Marcus Ericsson,1,Struggling Backmarker,1.8704801860330988,-0.0032898390990148724,0.0,0.0,0.2391304347826087,92
831,Felipe Nasr,1,Struggling Backmarker,2.0992717465784576,-0.7248239420393323,0.0,0.0,0.2,35
820,Max Chilton,1,Struggling Backmarker,3.277608838889767,-1.1706811900485332,0.0,0.0,0.2727272727272727,11
838,Stoffel Vandoorne,1,Struggling Backmarker,1.7879308988637317,-0.7279733859148148,0.0,0.0,0.1891891891891892,37
858,Logan Sargeant,1,Struggling Backmarker,2.177713101966318,-0.515503629566258,0.0,0.0,0.25806451612903225,31
845,Sergey Sirotkin,1,Struggling Backmarker,1.8722238787573795,-0.935837613547643,0.0,0.0,0.0625,16
9,Robert Kubica,1,Struggling Backmarker,1.705228621863959,-0.42177708344506226,0.0,0.0,0.1111111111111111,18
855,Guanyu Zhou,1,Struggling Backmarker,1.4808050907072585,-0.2415235591284124,0.0,0.0,0.14285714285714285,63
16,Adrian Sutil,1,Struggling Backmarker,2.054555228206883,-0.48119209749615677,0.0,0.0,0.35714285714285715,14
813,Pastor Maldonado,1,Struggling Backmarker,1.8659158696614657,-0.3247713512497352,0.0,0.0,0.3939393939393939,33
843,Brendon Hartley,1,Struggling Backmarker,2.0839400265307835,-0.6175529505348416,0.0,0.0,0.35,20
836,Pascal Wehrlein,1,Struggling Backmarker,2.312731967924299,-0.659523175505262,0.0,0.0,0.23529411764705882,34
821,Esteban Gutiérrez,1,Struggling Backmarker,1.8539220188868748,-0.24569469911422198,0.0,0.0,0.2857142857142857,35
824,Jules Bianchi,1,Struggling Backmarker,2.751130520375769,-0.9939583921937114,0.0,0.0,0.3,10
155,Kamui Kobayashi,1,Struggling Backmarker,3.6708711368776425,-1.1201337800293432,0.0,0.0,0.45454545454545453,11
829,Will Stevens,1,Struggling Backmarker,2.4474295771039207,-1.002071366481951,0.0,0.0,0.14285714285714285,14
854,Mick Schumacher,1,Struggling Backmarker,1.5498064621585605,-0.3780908576462631,0.0,0.0,0.15384615384615385,39
853,Nikita Mazepin,1,Struggling Backmarker,2.9204279378124354,-0.9086798223563319,0.0,0.0,0.29411764705882354,17
818,Jean-Éric Vergne,1,Struggling Backmarker,0.6647524814692047,-0.5389347800943568,0.0,0.0,0.14285714285714285,14
841,Antonio Giovinazzi,1,Struggling Backmarker,1.0907730533032782,-0.20693243539470754,0.0,0.0,0.10526315789473684,57
817,Daniel Ricciardo,2,Consistent Midfield,-2.113853721975816,1.6683370102823347,0.039603960396039604,0.15346534653465346,0.15346534653465346,202
815,Sergio Pérez,2,Consistent Midfield,-2.3778423563172155,1.8271292394065206,0.027149321266968326,0.1583710407239819,0.12217194570135746,221
847,George Russell,2,Consistent Midfield,-1.1389140162539164,0.5283464846132157,0.024390243902439025,0.12195121951219512,0.16260162601626016,123
832,Carlos Sainz,2,Consistent Midfield,-2.052889374970048,1.7151183654880848,0.019704433497536946,0.1330049261083744,0.1921182266009852,203
842,Pierre Gasly,2,Consistent Midfield,-0.7200706896656079,1.2078100152383109,0.006711409395973154,0.03355704697986577,0.16778523489932887,149
839,Esteban Ocon,2,Consistent Midfield,-0.8403129970156307,1.4434460542827083,0.006622516556291391,0.026490066225165563,0.16556291390728478,151
8,Kimi Räikkönen,2,Consistent Midfield,-1.692699560432969,1.1655646778098205,0.006535947712418301,0.16993464052287582,0.1503267973856209,153
825,Kevin Magnussen,2,Consistent Midfield,-0.233627061997355,1.879588980825726,0.0,0.0,0.19889502762430938,181
13,Felipe Massa,2,Consistent Midfield,-0.8997979790135392,0.3833728524490406,0.0,0.0684931506849315,0.1643835616438356,73
840,Lance Stroll,2,Consistent Midfield,-0.00394555669314553,1.1339730635307905,0.0,0.018404907975460124,0.17177914110429449,163
826,Daniil Kvyat,2,Consistent Midfield,0.0714874565329418,0.8634745422117136,0.0,0.028037383177570093,0.22429906542056074,107
4,Fernando Alonso,2,Consistent Midfield,-1.0139399202983563,1.9361256803567573,0.0,0.054945054945054944,0.23626373626373626,182
848,Alexander Albon,2,Consistent Midfield,0.018586389905997133,0.7147472143017093,0.0,0.02,0.19,100
852,Yuki Tsunoda,2,Consistent Midfield,0.3160987191712854,0.5060474325501878,0.0,0.0,0.18823529411764706,85
807,Nico Hülkenberg,2,Consistent Midfield,-0.9300844143449039,2.0923280213098825,0.0,0.0,0.2215568862275449,167
154,Romain Grosjean,2,Consistent Midfield,0.31106320289607053,1.1013882575575882,0.0,0.007633587786259542,0.26717557251908397,131
